date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
14:06:35	1920/1920	---M-Z	200	added ('OK')	text/html	etag:%22780-5d5dfe56b0a21-gzip%22	https://2022-bnb.com/	C:/My%20Web%20Sites/https___2022-bnb.com_/2022-bnb.com/index.html	(from )
14:06:36	0/0	---MCZ	200	added ('OK')	text/css	etag:W/%220-5d5dfe579a080%22	https://2022-bnb.com/font/font.css	C:/My%20Web%20Sites/https___2022-bnb.com_/2022-bnb.com/font/font.css	(from https://2022-bnb.com/)
14:06:58	6235/6235	---M--	200	added ('OK')	image/png	etag:%22185b-5d5dfe549e5c4%22	https://2022-bnb.com/favicon.png	C:/My%20Web%20Sites/https___2022-bnb.com_/2022-bnb.com/favicon.png	(from https://2022-bnb.com/)
14:07:05	17959/17959	---MCZ	200	added ('OK')	application/javascript	etag:W/%2261df0970-4627%22	https://www.smartsuppchat.com/loader.js?	C:/My%20Web%20Sites/https___2022-bnb.com_/www.smartsuppchat.com/loaderd41d.js	(from https://2022-bnb.com/)
14:07:05	3866/3866	---M--	200	added ('OK')	image/png	etag:%22f1a-5d5dfe58b059f%22	https://2022-bnb.com/img/fire.png	C:/My%20Web%20Sites/https___2022-bnb.com_/2022-bnb.com/img/fire.png	(from https://2022-bnb.com/)
14:07:06	29095/29095	---M-Z	200	added ('OK')	text/html	etag:%2271a7-5d5dfe59b12fe-gzip%22	https://2022-bnb.com/bnb/index.html	C:/My%20Web%20Sites/https___2022-bnb.com_/2022-bnb.com/bnb/index.html	(from https://2022-bnb.com/)
14:07:07	23959/23959	---M-Z	200	added ('OK')	text/html	etag:%225d97-5d5dfe59c6abe-gzip%22	https://2022-bnb.com/eth/index.html	C:/My%20Web%20Sites/https___2022-bnb.com_/2022-bnb.com/eth/index.html	(from https://2022-bnb.com/)
14:07:08	23264/23264	---M-Z	200	added ('OK')	text/html	etag:%225ae0-5d5dfe5c3e81b-gzip%22	https://2022-bnb.com/btc/index.html	C:/My%20Web%20Sites/https___2022-bnb.com_/2022-bnb.com/btc/index.html	(from https://2022-bnb.com/)
14:07:30	17028/17028	---M-Z	200	added ('OK')	text/css	etag:%224284-5d5dfe5763581-gzip%22	https://2022-bnb.com/css/style_v_1.css	C:/My%20Web%20Sites/https___2022-bnb.com_/2022-bnb.com/css/style_v_1.css	(from https://2022-bnb.com/)
14:07:34	26053/26053	---MCZ	200	added ('OK')	text/css	etag:%2265c5-BVfTdFS2f0LyyxAeV+UHD7EZNXA%22	https://unpkg.com/aos@2.3.1/dist/aos.css	C:/My%20Web%20Sites/https___2022-bnb.com_/unpkg.com/aos@2.3.1/dist/aos.css	(from https://2022-bnb.com/bnb/index.html)
